//This data set is derived from the Ecoli data set
##7
0,43,59,48,5,52,49,56
0,74,49,48,5,42,54,36
0,74,47,48,5,5,57,42
1,3,16,48,5,56,11,23
0,61,6,48,5,44,39,38
1,3,44,48,5,49,22,33
1,41,43,48,5,45,31,41
0,11,5,48,5,58,72,68
1,29,52,48,5,42,29,39
1,17,52,48,5,49,37,46
1,44,35,48,5,55,55,61
0,5,66,48,5,31,92,92
0,27,35,48,5,51,77,79
1,38,4,48,5,63,25,35
0,68,78,48,5,43,44,42
1,36,56,48,5,43,45,53
0,12,43,48,5,63,7,74
0,75,84,48,5,35,52,33
0,2,46,48,5,57,78,81
0,56,68,48,5,77,36,45
1,34,28,48,5,41,35,44
1,32,42,48,5,35,28,38
0,63,1,48,5,35,51,49
0,74,44,48,5,55,88,89
0,63,5,48,5,59,85,86
1,42,38,48,5,54,34,43
0,77,55,48,5,51,78,74
0,64,84,48,5,37,45,4
0,62,42,48,5,58,79,81
1,43,32,48,5,33,45,52
1,49,43,48,5,49,3,4
0,66,53,48,5,59,66,66
1,25,4,48,5,47,33,42
0,34,49,48,5,58,85,8
0,59,61,48,5,42,42,37
0,12,67,48,5,74,58,63
1,35,37,48,5,3,34,43
0,75,55,1,1,4,47,3
0,64,57,48,5,7,33,26
1,42,35,48,5,58,15,27
1,51,49,48,5,53,14,26
1,44,42,48,5,42,25,2
0,73,78,48,5,58,51,31
1,51,54,48,5,41,34,43
0,87,49,48,5,61,76,79
1,47,47,48,5,22,16,26
0,81,53,48,5,57,87,88
1,4,35,48,5,45,33,42
0,64,45,48,5,67,61,66
0,74,56,48,5,47,68,3
0,37,47,48,5,39,76,79
0,74,78,48,5,75,54,15
1,33,45,48,5,52,32,41
0,58,55,48,5,57,7,74
0,16,51,48,5,33,39,48
1,33,47,48,5,53,18,29
1,28,33,48,5,45,22,33
0,58,6,48,5,59,73,76
1,23,33,48,5,43,33,43
1,24,43,48,5,54,52,59
0,63,8,48,5,46,31,29
0,63,49,48,5,54,76,79
0,59,56,48,5,55,8,82
1,38,26,48,5,54,16,28
1,61,36,48,5,49,35,44
1,52,44,48,5,37,36,42
0,81,52,48,5,57,78,8
1,25,48,48,5,44,17,29
1,7,4,48,5,54,35,44
1,35,34,48,5,46,3,27
0,23,48,48,5,59,88,89
1,4,5,48,5,45,39,47
1,22,34,48,5,42,29,39
1,34,46,48,5,52,35,44
0,56,54,48,5,43,37,3
0,79,54,48,5,5,66,68
1,56,51,48,5,34,37,46
1,25,37,48,5,41,33,42
1,27,42,48,5,37,38,43
0,83,48,48,5,65,76,79
0,66,86,48,5,34,41,36
0,29,39,48,5,52,4,48
1,53,42,48,5,16,29,39
1,41,51,48,5,58,2,31
1,2,44,48,5,46,51,57
0,7,61,48,5,56,52,43
0,7,64,48,5,47,51,47
0,68,67,48,5,49,4,34
1,26,4,48,5,36,26,37
1,34,35,48,5,51,49,56
1,36,54,48,5,41,38,46
0,52,39,48,5,65,71,73
0,7,53,48,5,7,86,87
0,57,59,48,5,39,47,33
1,23,4,48,5,39,28,38
0,49,42,48,5,53,79,81
1,24,34,48,5,38,3,4
0,85,53,48,5,53,52,35
1,48,42,48,5,45,25,35
1,29,28,48,5,44,23,34
1,61,45,48,5,48,35,41
1,16,43,48,5,54,27,37
1,37,52,48,5,42,42,36
0,57,38,48,5,6,49,33
0,69,43,48,5,59,74,77
1,44,49,48,5,39,38,4
0,67,37,48,5,54,64,68
1,24,57,48,5,63,34,43
0,67,84,48,5,74,54,37
1,26,26,48,5,34,25,35
1,34,33,48,5,38,35,44
1,23,34,48,5,43,26,37
0,62,78,48,5,47,49,54
0,63,75,48,5,64,73,66
0,64,78,48,5,5,36,38
1,42,3,48,5,48,26,36
0,86,39,48,5,59,89,9
1,39,32,48,5,46,24,35
1,4,41,48,5,55,22,33
1,34,45,48,5,38,24,35
0,32,39,48,5,53,28,38
0,68,63,48,5,73,4,3
1,43,39,48,5,47,31,41
1,44,27,48,5,55,52,58
0,33,37,48,5,46,65,69
0,63,71,48,5,6,4,39
0,6,46,48,5,45,81,83
1,35,48,48,5,56,4,48
1,27,3,48,5,71,28,39
1,4,31,48,5,41,29,39
1,36,39,48,5,48,22,23
0,79,36,48,5,46,82,7
1,29,3,48,5,45,3,17
1,41,43,48,5,5,24,25
0,76,73,48,5,44,39,39
0,68,82,48,5,38,65,56
0,83,37,48,5,61,71,74
0,84,44,48,5,48,71,74
1,4,45,48,5,38,22,0
1,25,37,48,5,43,26,36
0,66,71,48,5,41,5,35
0,31,5,48,5,57,84,85
1,47,28,48,5,56,2,25
0,81,44,48,5,42,67,68
0,76,41,48,5,5,59,62
0,31,36,48,5,58,94,94
0,41,51,48,5,53,75,78
0,78,33,48,5,57,77,79
1,51,37,48,5,35,36,45
1,17,39,48,5,53,3,39
1,31,23,48,5,73,5,14
0,46,61,48,5,48,86,87
1,0,38,48,5,42,48,55
1,29,37,48,5,48,44,52
1,52,36,48,5,41,28,38
1,18,3,48,5,46,24,35
0,64,66,48,5,41,39,2
0,64,81,48,5,37,39,44
0,64,58,48,5,48,78,73
1,4,29,48,5,42,35,44
1,3,45,48,5,36,21,32
0,71,86,48,5,4,54,32
0,71,4,48,5,71,7,74
0,86,55,48,5,63,81,83
0,69,59,48,5,77,39,21
1,51,5,48,5,46,32,35
0,7,46,48,5,56,78,73
0,63,83,48,5,4,39,19
0,51,4,48,5,57,62,67
0,52,54,48,5,62,76,79
1,22,36,48,5,35,39,47
1,47,29,48,5,51,33,43
0,67,61,48,5,51,37,38
0,63,57,48,5,49,7,2
0,88,42,48,5,52,73,75
0,78,44,48,5,45,73,68
0,65,51,48,5,66,54,33
0,6,5,1,5,54,77,8
1,41,57,48,5,39,21,32
1,34,42,48,5,41,34,43
1,43,37,48,5,53,35,44
1,24,35,48,5,31,19,31
0,63,65,48,5,66,67,71
0,74,7,48,5,66,65,69
1,3,37,48,5,59,41,49
0,47,59,48,5,52,76,79
0,76,71,48,5,5,71,75
1,52,57,48,5,42,47,54
0,73,84,48,5,86,58,29
1,28,38,48,5,5,33,42
